filepath,label
data/raw\buildings\11317.jpg,buildings
data/raw\buildings\11323.jpg,buildings
data/raw\buildings\11334.jpg,buildings
data/raw\buildings\11338.jpg,buildings
data/raw\buildings\11345.jpg,buildings
data/raw\buildings\11349.jpg,buildings
data/raw\buildings\11363.jpg,buildings
data/raw\buildings\11366.jpg,buildings
data/raw\buildings\11371.jpg,buildings
data/raw\buildings\11374.jpg,buildings
data/raw\buildings\11378.jpg,buildings
data/raw\buildings\11410.jpg,buildings
data/raw\buildings\11418.jpg,buildings
data/raw\buildings\11425.jpg,buildings
data/raw\buildings\11428.jpg,buildings
data/raw\buildings\11458.jpg,buildings
data/raw\buildings\11471.jpg,buildings
data/raw\buildings\11477.jpg,buildings
data/raw\buildings\11483.jpg,buildings
data/raw\buildings\11494.jpg,buildings
data/raw\buildings\11499.jpg,buildings
data/raw\buildings\11502.jpg,buildings
data/raw\buildings\11523.jpg,buildings
data/raw\buildings\11530.jpg,buildings
data/raw\buildings\11560.jpg,buildings
data/raw\buildings\11568.jpg,buildings
data/raw\buildings\11569.jpg,buildings
data/raw\buildings\11570.jpg,buildings
data/raw\buildings\11594.jpg,buildings
data/raw\buildings\11595.jpg,buildings
data/raw\buildings\11599.jpg,buildings
data/raw\buildings\11601.jpg,buildings
data/raw\buildings\11605.jpg,buildings
data/raw\buildings\11613.jpg,buildings
data/raw\buildings\11620.jpg,buildings
data/raw\buildings\11621.jpg,buildings
data/raw\buildings\11622.jpg,buildings
data/raw\buildings\11627.jpg,buildings
data/raw\buildings\11628.jpg,buildings
data/raw\buildings\11635.jpg,buildings
data/raw\buildings\11642.jpg,buildings
data/raw\buildings\11658.jpg,buildings
data/raw\buildings\11670.jpg,buildings
data/raw\buildings\11696.jpg,buildings
data/raw\buildings\11700.jpg,buildings
data/raw\buildings\11718.jpg,buildings
data/raw\buildings\11731.jpg,buildings
data/raw\buildings\11753.jpg,buildings
data/raw\buildings\11780.jpg,buildings
data/raw\buildings\11788.jpg,buildings
data/raw\buildings\11795.jpg,buildings
data/raw\buildings\11796.jpg,buildings
data/raw\buildings\11808.jpg,buildings
data/raw\buildings\11813.jpg,buildings
data/raw\buildings\11827.jpg,buildings
data/raw\buildings\11845.jpg,buildings
data/raw\buildings\11855.jpg,buildings
data/raw\buildings\11883.jpg,buildings
data/raw\buildings\11899.jpg,buildings
data/raw\buildings\11910.jpg,buildings
data/raw\buildings\11924.jpg,buildings
data/raw\buildings\11929.jpg,buildings
data/raw\buildings\11937.jpg,buildings
data/raw\buildings\11941.jpg,buildings
data/raw\buildings\11945.jpg,buildings
data/raw\buildings\11947.jpg,buildings
data/raw\buildings\11959.jpg,buildings
data/raw\buildings\11961.jpg,buildings
data/raw\buildings\11990.jpg,buildings
data/raw\buildings\11991.jpg,buildings
data/raw\buildings\11992.jpg,buildings
data/raw\buildings\11993.jpg,buildings
data/raw\buildings\12000.jpg,buildings
data/raw\buildings\12010.jpg,buildings
data/raw\buildings\12024.jpg,buildings
data/raw\buildings\12028.jpg,buildings
data/raw\buildings\12042.jpg,buildings
data/raw\buildings\12050.jpg,buildings
data/raw\buildings\12058.jpg,buildings
data/raw\buildings\12060.jpg,buildings
data/raw\buildings\12063.jpg,buildings
data/raw\buildings\12065.jpg,buildings
