filepath,label
data/raw\glacier\11831.jpg,glacier
data/raw\mountain\5873.jpg,mountain
data/raw\glacier\18710.jpg,glacier
data/raw\sea\7882.jpg,sea
data/raw\buildings\19728.jpg,buildings
data/raw\glacier\18336.jpg,glacier
data/raw\street\5519.jpg,street
data/raw\buildings\12512.jpg,buildings
data/raw\sea\4388.jpg,sea
data/raw\mountain\554.jpg,mountain
data/raw\forest\717.jpg,forest
data/raw\mountain\3593.jpg,mountain
data/raw\glacier\17768.jpg,glacier
data/raw\street\6199.jpg,street
data/raw\sea\4651.jpg,sea
data/raw\mountain\2879.jpg,mountain
data/raw\street\5572.jpg,street
data/raw\buildings\18166.jpg,buildings
data/raw\glacier\19988.jpg,glacier
data/raw\forest\5238.jpg,forest
data/raw\sea\2061.jpg,sea
data/raw\forest\123.jpg,forest
data/raw\forest\3396.jpg,forest
data/raw\mountain\1228.jpg,mountain
data/raw\mountain\816.jpg,mountain
data/raw\street\5437.jpg,street
data/raw\mountain\1257.jpg,mountain
data/raw\forest\8328.jpg,forest
data/raw\buildings\13583.jpg,buildings
data/raw\mountain\6471.jpg,mountain
data/raw\buildings\15078.jpg,buildings
data/raw\mountain\7700.jpg,mountain
data/raw\mountain\1869.jpg,mountain
data/raw\buildings\13640.jpg,buildings
data/raw\forest\501.jpg,forest
data/raw\glacier\17888.jpg,glacier
data/raw\forest\1296.jpg,forest
data/raw\forest\405.jpg,forest
data/raw\mountain\771.jpg,mountain
data/raw\forest\5246.jpg,forest
data/raw\street\8021.jpg,street
data/raw\mountain\3657.jpg,mountain
data/raw\forest\2638.jpg,forest
data/raw\buildings\17338.jpg,buildings
data/raw\glacier\15950.jpg,glacier
data/raw\buildings\13131.jpg,buildings
data/raw\mountain\5431.jpg,mountain
data/raw\mountain\5915.jpg,mountain
data/raw\forest\5591.jpg,forest
data/raw\forest\3649.jpg,forest
data/raw\glacier\18863.jpg,glacier
data/raw\mountain\3269.jpg,mountain
data/raw\forest\5342.jpg,forest
data/raw\street\9413.jpg,street
data/raw\glacier\19116.jpg,glacier
data/raw\buildings\19460.jpg,buildings
data/raw\buildings\14651.jpg,buildings
data/raw\glacier\14781.jpg,glacier
data/raw\forest\6104.jpg,forest
data/raw\street\9342.jpg,street
data/raw\street\10580.jpg,street
data/raw\glacier\18515.jpg,glacier
data/raw\mountain\6012.jpg,mountain
data/raw\buildings\16808.jpg,buildings
data/raw\buildings\18105.jpg,buildings
data/raw\glacier\16012.jpg,glacier
data/raw\glacier\13147.jpg,glacier
data/raw\forest\2122.jpg,forest
data/raw\glacier\11875.jpg,glacier
data/raw\sea\7775.jpg,sea
data/raw\street\5705.jpg,street
data/raw\street\15478.jpg,street
data/raw\mountain\7412.jpg,mountain
data/raw\buildings\13843.jpg,buildings
data/raw\forest\8737.jpg,forest
data/raw\street\16189.jpg,street
data/raw\buildings\18029.jpg,buildings
data/raw\mountain\402.jpg,mountain
data/raw\glacier\16956.jpg,glacier
data/raw\forest\2497.jpg,forest
data/raw\glacier\16187.jpg,glacier
data/raw\buildings\17868.jpg,buildings
data/raw\mountain\4145.jpg,mountain
data/raw\buildings\13689.jpg,buildings
data/raw\buildings\13815.jpg,buildings
data/raw\sea\719.jpg,sea
data/raw\glacier\19708.jpg,glacier
data/raw\buildings\16466.jpg,buildings
data/raw\mountain\5032.jpg,mountain
data/raw\mountain\543.jpg,mountain
data/raw\buildings\14856.jpg,buildings
data/raw\buildings\17308.jpg,buildings
data/raw\street\7559.jpg,street
data/raw\forest\8719.jpg,forest
data/raw\glacier\15589.jpg,glacier
data/raw\street\7431.jpg,street
data/raw\street\14388.jpg,street
data/raw\glacier\14884.jpg,glacier
data/raw\sea\5423.jpg,sea
data/raw\street\7366.jpg,street
data/raw\buildings\11991.jpg,buildings
data/raw\forest\4846.jpg,forest
data/raw\street\15499.jpg,street
data/raw\buildings\11658.jpg,buildings
data/raw\mountain\1287.jpg,mountain
data/raw\glacier\19342.jpg,glacier
data/raw\mountain\2505.jpg,mountain
data/raw\mountain\964.jpg,mountain
data/raw\glacier\12605.jpg,glacier
data/raw\buildings\19913.jpg,buildings
data/raw\forest\4935.jpg,forest
data/raw\street\5660.jpg,street
data/raw\mountain\2166.jpg,mountain
data/raw\buildings\12103.jpg,buildings
data/raw\buildings\17590.jpg,buildings
data/raw\mountain\1621.jpg,mountain
data/raw\street\9903.jpg,street
data/raw\mountain\3826.jpg,mountain
data/raw\street\10202.jpg,street
data/raw\street\5479.jpg,street
data/raw\street\14608.jpg,street
data/raw\forest\8567.jpg,forest
data/raw\street\15942.jpg,street
data/raw\mountain\2455.jpg,mountain
data/raw\buildings\15905.jpg,buildings
data/raw\mountain\2677.jpg,mountain
data/raw\sea\3099.jpg,sea
data/raw\buildings\13863.jpg,buildings
data/raw\forest\4399.jpg,forest
data/raw\mountain\7355.jpg,mountain
data/raw\glacier\18551.jpg,glacier
data/raw\buildings\15729.jpg,buildings
data/raw\buildings\11425.jpg,buildings
data/raw\buildings\15714.jpg,buildings
data/raw\mountain\6770.jpg,mountain
data/raw\buildings\17165.jpg,buildings
data/raw\mountain\7020.jpg,mountain
data/raw\street\6679.jpg,street
data/raw\buildings\19668.jpg,buildings
data/raw\sea\6260.jpg,sea
data/raw\buildings\19623.jpg,buildings
data/raw\buildings\17898.jpg,buildings
data/raw\buildings\13969.jpg,buildings
data/raw\glacier\14770.jpg,glacier
data/raw\mountain\6083.jpg,mountain
data/raw\forest\1063.jpg,forest
data/raw\sea\5902.jpg,sea
data/raw\sea\6269.jpg,sea
data/raw\buildings\14783.jpg,buildings
data/raw\buildings\15334.jpg,buildings
data/raw\glacier\13429.jpg,glacier
data/raw\buildings\16137.jpg,buildings
data/raw\glacier\12186.jpg,glacier
data/raw\street\15802.jpg,street
data/raw\mountain\5487.jpg,mountain
data/raw\street\7216.jpg,street
data/raw\forest\5781.jpg,forest
data/raw\glacier\13244.jpg,glacier
data/raw\glacier\14397.jpg,glacier
data/raw\glacier\16044.jpg,glacier
data/raw\forest\8337.jpg,forest
