epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
1,1.315373,1.070074,0.5772,0.5478,0.001
2,0.97915,0.931386,0.643,0.6267,0.001
3,0.886077,0.873746,0.6714,0.6611,0.00099975
4,0.836797,0.841177,0.69,0.6778,0.00099901
5,0.803921,0.823674,0.7,0.69,0.00099778
6,0.778811,0.807178,0.7116,0.7033,0.00099606
7,0.759941,0.799206,0.717,0.7067,0.00099385
8,0.744142,0.790666,0.7216,0.7111,0.00099115
9,0.732044,0.781413,0.7306,0.7111,0.00098797
10,0.722721,0.777112,0.7333,0.7122,0.00098431
11,0.712828,0.774118,0.7369,0.7078,0.00098017
12,0.705896,0.769132,0.7395,0.7089,0.00097555
13,0.697685,0.767842,0.742,0.7156,0.00097047
14,0.694333,0.763841,0.7448,0.7144,0.00096492
15,0.68746,0.760285,0.7455,0.71,0.00095892
16,0.684082,0.759033,0.748,0.7111,0.00095246
17,0.680427,0.755962,0.7482,0.7133,0.00094556
18,0.676439,0.754587,0.7489,0.7144,0.00093822
19,0.672208,0.754239,0.7511,0.7122,0.00093044
20,0.669042,0.75238,0.7528,0.7133,0.00092224
21,0.666267,0.750463,0.7514,0.7189,0.00091363
22,0.666208,0.750821,0.7537,0.71,0.0009046
23,0.662351,0.750278,0.7562,0.71,0.00089518
24,0.660043,0.749452,0.7554,0.7156,0.00088537
25,0.657287,0.749558,0.7565,0.7167,0.00087518
26,0.655622,0.74777,0.7576,0.7144,0.00086462
27,0.654187,0.746745,0.758,0.7144,0.0008537
28,0.652336,0.747248,0.7579,0.7133,0.00084243
29,0.651985,0.745945,0.7583,0.7144,0.00083083
30,0.649804,0.744088,0.7583,0.7133,0.00081889
31,0.648555,0.744255,0.7588,0.72,0.00080665
32,0.646649,0.744125,0.7607,0.7122,0.0007941
33,0.64761,0.743499,0.76,0.7167,0.00078126
34,0.64626,0.743038,0.76,0.7156,0.00076815
35,0.643557,0.744416,0.7593,0.7111,0.00075477
36,0.642908,0.744933,0.7604,0.7111,0.00074114
37,0.642989,0.743817,0.7605,0.7111,0.00072727
38,0.641025,0.744249,0.7607,0.7144,0.00071318
39,0.640479,0.744819,0.7597,0.7133,0.00069888
40,0.639314,0.7442,0.761,0.7144,0.00068438
41,0.639252,0.742839,0.7614,0.7144,0.0006697
42,0.639065,0.743059,0.7604,0.7156,0.00065485
43,0.637346,0.743544,0.7608,0.7111,0.00063986
44,0.636976,0.743576,0.7626,0.7167,0.00062472
45,0.637352,0.742761,0.7629,0.7133,0.00060946
46,0.635947,0.743177,0.7615,0.7144,0.0005941
47,0.635611,0.742463,0.7633,0.7144,0.00057864
48,0.634863,0.742942,0.7629,0.7122,0.0005631
49,0.633805,0.742871,0.7607,0.7089,0.00054751
50,0.633811,0.741802,0.7639,0.7122,0.00053186
51,0.633568,0.74227,0.7608,0.7089,0.00051619
52,0.632729,0.742467,0.7625,0.7156,0.0005005
53,0.632718,0.741428,0.7621,0.7089,0.00048481
54,0.632335,0.74199,0.7634,0.7133,0.00046914
55,0.63249,0.74284,0.7625,0.7089,0.00045349
56,0.631377,0.743781,0.7615,0.7089,0.0004379
57,0.631409,0.741912,0.7621,0.7133,0.00042236
58,0.630499,0.742758,0.7629,0.7144,0.0004069
59,0.630347,0.741898,0.7631,0.7133,0.00039154
60,0.630343,0.74238,0.7633,0.7178,0.00037628
61,0.629731,0.741392,0.7626,0.7156,0.00036114
62,0.629543,0.741445,0.7633,0.7144,0.00034615
63,0.629622,0.741607,0.7635,0.7156,0.0003313
