epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
1,1.018553,0.838794,0.8044,0.7078,0.01
2,0.511089,0.828956,0.864,0.7167,0.01
3,0.399607,0.826382,0.8949,0.7222,0.00999753
4,0.343056,0.849293,0.9101,0.7233,0.00999013
5,0.304254,0.854638,0.9243,0.7178,0.00997781
6,0.278201,0.872338,0.9321,0.7156,0.00996058
7,0.254958,0.915872,0.9397,0.7067,0.00993845
8,0.239143,0.93412,0.9411,0.7211,0.00991145
9,0.223302,0.926826,0.95,0.7167,0.0098796
10,0.209972,0.938698,0.9555,0.7222,0.00984293
11,0.200782,0.974417,0.9548,0.7211,0.00980149
12,0.19104,0.979722,0.9594,0.7144,0.00975531
13,0.181583,0.996272,0.9645,0.72,0.00970443
